date,close,high,low,open
2020-05-06 18:50:00+00:00,3.97,3.975,3.965,3.975
2020-05-06 19:00:00+00:00,3.97,3.975,3.955,3.97
2020-05-06 19:10:00+00:00,3.965,3.97,3.965,3.965
2020-05-06 19:20:00+00:00,3.965,3.97,3.965,3.965
2020-05-06 19:30:00+00:00,3.965,3.965,3.965,3.965
2020-05-06 19:40:00+00:00,3.965,3.97,3.955,3.965
2020-05-06 19:50:00+00:00,3.925,3.965,3.925,3.96
2020-05-06 20:00:00+00:00,3.925,3.925,3.925,3.925
2020-05-07 13:30:00+00:00,4.0,4.05,3.97,4.05
2020-05-07 13:40:00+00:00,4.025,4.025,3.99,3.995
2020-05-07 13:50:00+00:00,3.995,4.05,3.99,4.04
2020-05-07 14:00:00+00:00,3.98,3.995,3.98,3.995
2020-05-07 14:10:00+00:00,3.98,3.985,3.965,3.97
2020-05-07 14:20:00+00:00,4.015,4.015,3.98,3.98
2020-05-07 14:30:00+00:00,4.0,4.015,3.98,4.015
2020-05-07 14:40:00+00:00,3.98,4.005,3.98,4.0
2020-05-07 14:50:00+00:00,3.975,3.995,3.975,3.99
2020-05-07 15:00:00+00:00,3.97,3.985,3.97,3.975
2020-05-07 15:10:00+00:00,4.005,4.01,3.97,3.97
2020-05-07 15:20:00+00:00,4.03,4.03,4.005,4.005
2020-05-07 15:30:00+00:00,4.08,4.08,4.035,4.035
2020-05-07 15:40:00+00:00,4.115,4.175,4.08,4.08
2020-05-07 15:50:00+00:00,4.105,4.12,4.105,4.12
2020-05-07 16:00:00+00:00,4.145,4.155,4.105,4.105
2020-05-07 16:10:00+00:00,4.145,4.145,4.145,4.145
2020-05-07 16:20:00+00:00,4.145,4.16,4.13,4.13
2020-05-07 16:30:00+00:00,4.065,4.135,4.045,4.125
2020-05-07 16:40:00+00:00,4.05,4.08,4.04,4.065
2020-05-07 16:50:00+00:00,4.085,4.09,4.05,4.06
2020-05-07 17:00:00+00:00,4.09,4.09,4.07,4.085
2020-05-07 17:10:00+00:00,4.06,4.09,4.06,4.09
2020-05-07 17:20:00+00:00,4.04,4.06,4.02,4.06
2020-05-07 17:30:00+00:00,4.045,4.045,4.04,4.04
2020-05-07 17:40:00+00:00,4.035,4.045,4.015,4.045
2020-05-07 17:50:00+00:00,4.03,4.035,4.03,4.035
2020-05-07 18:00:00+00:00,4.03,4.03,4.03,4.03
2020-05-07 18:10:00+00:00,4.045,4.045,4.045,4.045
2020-05-07 18:20:00+00:00,4.045,4.045,4.045,4.045
2020-05-07 18:30:00+00:00,4.0,4.045,4.0,4.045
2020-05-07 18:40:00+00:00,4.005,4.015,4.0,4.0
2020-05-07 18:50:00+00:00,3.98,4.02,3.97,4.005
2020-05-07 19:00:00+00:00,3.975,3.98,3.97,3.975
2020-05-07 19:10:00+00:00,4.0,4.02,3.975,3.975
2020-05-07 19:20:00+00:00,3.975,4.0,3.975,4.0
2020-05-07 19:30:00+00:00,4.01,4.01,3.975,4.01
2020-05-07 19:40:00+00:00,3.97,4.005,3.97,3.975
2020-05-07 19:50:00+00:00,3.99,3.995,3.97,3.99
2020-05-07 20:00:00+00:00,3.99,3.99,3.99,3.99
2020-05-08 13:30:00+00:00,4.185,4.21,3.99,3.99
2020-05-08 13:40:00+00:00,4.14,4.185,4.07,4.185
2020-05-08 13:50:00+00:00,4.15,4.15,4.14,4.14
2020-05-08 14:00:00+00:00,4.17,4.17,4.15,4.15
2020-05-08 14:10:00+00:00,4.165,4.18,4.155,4.17
2020-05-08 14:20:00+00:00,4.14,4.165,4.13,4.165
2020-05-08 14:30:00+00:00,4.12,4.14,4.12,4.14
2020-05-08 14:40:00+00:00,4.09,4.12,4.09,4.12
2020-05-08 14:50:00+00:00,4.095,4.115,4.075,4.09
2020-05-08 15:00:00+00:00,4.095,4.095,4.095,4.095
2020-05-08 15:10:00+00:00,4.115,4.115,4.095,4.095
2020-05-08 15:20:00+00:00,4.11,4.125,4.105,4.115
2020-05-08 15:30:00+00:00,4.105,4.11,4.105,4.11
2020-05-08 15:40:00+00:00,4.105,4.105,4.105,4.105
2020-05-08 15:50:00+00:00,4.095,4.105,4.095,4.105
2020-05-08 16:00:00+00:00,4.1,4.1,4.085,4.095
2020-05-08 16:10:00+00:00,4.08,4.1,4.08,4.1
2020-05-08 16:20:00+00:00,4.065,4.085,4.05,4.065
2020-05-08 16:30:00+00:00,4.075,4.075,4.065,4.065
2020-05-08 16:40:00+00:00,4.085,4.085,4.075,4.075
2020-05-08 16:50:00+00:00,4.085,4.085,4.085,4.085
2020-05-08 17:00:00+00:00,4.08,4.085,4.08,4.085
2020-05-08 17:10:00+00:00,4.08,4.08,4.08,4.08
2020-05-08 17:20:00+00:00,4.095,4.095,4.08,4.08
2020-05-08 17:30:00+00:00,4.095,4.095,4.095,4.095
2020-05-08 17:40:00+00:00,4.07,4.095,4.065,4.095
2020-05-08 17:50:00+00:00,4.055,4.055,4.055,4.055
2020-05-08 18:00:00+00:00,4.085,4.09,4.055,4.055
2020-05-08 18:10:00+00:00,4.075,4.085,4.075,4.085
2020-05-08 18:20:00+00:00,4.075,4.075,4.075,4.075
2020-05-08 18:30:00+00:00,4.09,4.115,4.085,4.115
2020-05-08 18:40:00+00:00,4.09,4.09,4.085,4.09
2020-05-08 18:50:00+00:00,4.075,4.105,4.075,4.095
2020-05-08 19:00:00+00:00,4.075,4.075,4.075,4.075
2020-05-08 19:10:00+00:00,4.115,4.115,4.075,4.075
2020-05-08 19:20:00+00:00,4.135,4.14,4.13,4.135
2020-05-08 19:30:00+00:00,4.125,4.135,4.115,4.135
2020-05-08 19:40:00+00:00,4.145,4.145,4.125,4.125
2020-05-08 19:50:00+00:00,4.125,4.145,4.11,4.145
2020-05-08 20:00:00+00:00,4.125,4.125,4.125,4.125
2020-05-11 13:30:00+00:00,5.725,6.355,5.56,6.355
2020-05-11 13:40:00+00:00,5.94,6.0,5.655,5.73
2020-05-11 13:50:00+00:00,5.68,6.045,5.61,5.94
2020-05-11 14:00:00+00:00,5.965,5.985,5.68,5.695
2020-05-11 14:10:00+00:00,5.83,6.085,5.715,5.96
2020-05-11 14:20:00+00:00,5.305,5.915,5.205,5.83
2020-05-11 14:30:00+00:00,5.16,5.34,4.885,5.29
2020-05-11 14:40:00+00:00,5.185,5.215,5.05,5.16
2020-05-11 14:50:00+00:00,5.07,5.235,5.05,5.19
2020-05-11 15:00:00+00:00,5.32,5.345,5.07,5.07
2020-05-11 15:10:00+00:00,5.445,5.445,5.19,5.32
2020-05-11 15:20:00+00:00,5.505,5.635,5.43,5.435
2020-05-11 15:30:00+00:00,5.54,5.585,5.345,5.505
2020-05-11 15:40:00+00:00,5.55,5.595,5.42,5.54
2020-05-11 15:50:00+00:00,5.495,5.55,5.46,5.55
2020-05-11 16:00:00+00:00,5.54,5.58,5.49,5.49
2020-05-11 16:10:00+00:00,5.59,5.595,5.5,5.535
2020-05-11 16:20:00+00:00,5.935,5.98,5.585,5.585
2020-05-11 16:30:00+00:00,5.945,6.055,5.82,5.93
2020-05-11 16:40:00+00:00,5.78,5.945,5.715,5.945
2020-05-11 16:50:00+00:00,5.835,5.885,5.715,5.775
2020-05-11 17:00:00+00:00,5.85,5.86,5.76,5.83
2020-05-11 17:10:00+00:00,5.78,5.865,5.71,5.855
2020-05-11 17:20:00+00:00,5.72,5.79,5.65,5.78
2020-05-11 17:30:00+00:00,5.67,5.765,5.615,5.725
2020-05-11 17:40:00+00:00,5.715,5.79,5.645,5.67
2020-05-11 17:50:00+00:00,5.725,5.745,5.675,5.71
2020-05-11 18:00:00+00:00,5.69,5.745,5.615,5.73
2020-05-11 18:10:00+00:00,5.63,5.685,5.595,5.685
2020-05-11 18:20:00+00:00,5.62,5.65,5.475,5.63
2020-05-11 18:30:00+00:00,5.54,5.675,5.495,5.615
2020-05-11 18:40:00+00:00,5.52,5.55,5.495,5.54
2020-05-11 18:50:00+00:00,5.475,5.555,5.395,5.515
2020-05-11 19:00:00+00:00,5.355,5.475,5.31,5.475
2020-05-11 19:10:00+00:00,5.29,5.46,5.255,5.36
2020-05-11 19:20:00+00:00,5.18,5.39,5.12,5.335
